0
Konten kabupaten
kabupaten klaten
klaten menyelenggarakan
menyelenggarakan karnaval
karnaval budaya
budaya yang
yang digelar
digelar siang
siang ini
ini jalan
jalan utama
utama kota
kota dilalui
dilalui berbagai
berbagai jenis
jenis kesenian
kesenian mulai
mulai dari
dari reog
reog wayang
wayang orang
orang tari
tari tradisional
tradisional tari
tari kreasi
kreasi hadroh
hadroh drum
drum band
band tari
tari gedruk
gedruk dan
dan lainnya
lainnya peserta
peserta dari
dari kecamatan
kecamatan dan
dan berbagai
berbagai kelompok
kelompok berkumpul
berkumpul di
di depan
depan taman
taman lampion
lampion jalan
jalan veteran
veteran mereka
mereka kemudian
kemudian bergerak
bergerak menuju
menuju jalan
jalan pemuda
pemuda klaten
klaten ke
ke arah
arah selatan
selatan di
di pinggir
pinggir jalan
jalan ratusan
ratusan ukm
ukm makanan
makanan minuman
minuman dan
dan mainan
mainan berjejer
berjejer turut
turut memeriahkan
memeriahkan acara
acara ini
ini sehingga
sehingga ribuan
ribuan warga
warga memenuhi
memenuhi sepanjang
sepanjang jalan
veteran sampai
sampai jalan
pemuda depan
depan rumah
rumah dinas
dinas bupati
bupati klaten
klaten sebuah
sebuah panggung
panggung utama
utama didirikan
didirikan di
klaten untuk
untuk jajaran
jajaran forkompimda
forkompimda salah
salah satu
satu peserta
peserta karnaval
karnaval yakni
yakni dari
kecamatan bayat
bayat menampilkan
menampilkan tari
kreasi baru
baru camat
camat bayat
bayat joko
joko purwanto
purwanto mengatakan
mengatakan para
para penari
penari tari
baru tersebut
tersebut masih
masih remaja
remaja personel
personel masih
masih muda
muda muda
muda grup
grup tari
baru ini
ini sudah
sudah cukup
cukup punya
punya nama
nama terakhir
terakhir tampil
tampil di
di acara
acara menteri
menteri pendidikan
pendidikan di
di jakarta
jakarta kata
kata joko
joko kepada
kepada detikjateng
detikjateng di
di lokasi
lokasi sabtu
sabtu siang
siang sementara
sementara itu
itu plt
plt camat
camat kalikotes
kalikotes retno
retno setyaningsih
setyaningsih mengatakan
mengatakan dari
dari kecamatannya
kecamatannya membawa
membawa dua
dua grup
grup pesertanya
pesertanya hampir
hampir orang
orang peserta
peserta ini
ini hampir
orang dua
grup yaitu
yaitu kesenian
kesenian wayang
orang dan
dan angklung
angklung kita
kita juga
juga bawa
bawa ikon
ikon kecamatan
kecamatan berupa
berupa patung
patung ikan
ikan kotes
kotes atau
atau gabus
gabus kata
kata retno
retno seperti
seperti diberitakan
diberitakan sebelumnya
sebelumnya karnaval
karnaval dalam
dalam rangka
rangka hut
hut ri
ri ke
ke dan
dan hari
hari jadi
jadi kabupaten
kabupaten klaten
ke tetap
tetap digelar
digelar tahun
tahun ini
ini karnaval
karnaval akan
akan digelar
digelar selama
selama dua
dua hari
hari berturut
berturut turut
turut mulai
mulai besok
besok ada
ada karnaval
karnaval karnaval
budaya tanggal
tanggal agustus
agustus hari
hari sabtu
sabtu dan
dan karnaval
karnaval pembangunan
pembangunan tanggal
hari minggu
minggu jelas
jelas kepala
kepala dinas
dinas kebudayaan
kebudayaan pemuda
pemuda olah
olah raga
raga dan
dan pariwisata
pariwisata pemkab
pemkab klaten
klaten sri
sri nugroho
nugroho kepada
detikjateng jumat
jumat sri
nugroho menjelaskan
menjelaskan kedua
kedua pawai
pawai karnaval
karnaval tersebut
tersebut digelar
digelar mulai
mulai pukul
pukul wib
wib sampai
sampai selesai
selesai sekitar
sekitar pukul
wib sejumlah
sejumlah peserta
peserta saat
saat ini
sudah mulai
mulai mendaftar
mendaftar 1karnaval
1karnaval budaya
budaya kabupaten
klaten tahun
tahun digelar
ini di
di jalan
kota berbagai
kesenian dan
dan potensi
potensi kebudayaan
kebudayaan disajikan
disajikan peserta
peserta pantauan
pantauan detik
detik jateng
jateng sekitar
wib para
para peserta
kelompok mulai
mulai berdatangan
berdatangan peserta
peserta berkumpul
veteran berbagai
berbagai kesenian
kesenian tampak
tampak berbaris
berbaris mengikuti
mengikuti karnaval
karnaval secara
secara berombongan
berombongan mulai
lainnya ada
ada yang
yang berjalan
berjalan kaki
kaki atau
atau pentas
pentas di
di atas
atas mobil
mobil bak
bak terbuka
terbuka sekitar
wib peserta
peserta mulai
mulai bergerak
selatan ribuan
warga berjajar
berjajar dari
dari mulai
mulai jalan
klaten ratusan
mainan berjualan
berjualan di
di tepi
tepi jalan
jalan di
bupati sebuah
utama untuk
forkompimda didirikan
didirikan masyarakat
masyarakat berkumpul
dinas meski
meski stage
stage untuk
untuk forkompimda
forkompimda dipagar
dipagar besi
besi camat
bayat satu
satu grup
tari dibawa
dibawa ke
ke karnaval
karnaval grup
tersebut peraganya
peraganya masih
siang plt
setyaningsih menyatakan
menyatakan dari
retno kepada
detikjateng seperti
mendaftar 2siang
2siang ini
budaya dalam
ke digelar
digelar di
di pusat
pusat kota
kota klaten
klaten dinas
dinas perhubungan
perhubungan memberlakukan
memberlakukan rekayasa
rekayasa arus
arus kasi
kasi dalops
dalops dinas
perhubungan pemkab
klaten nunung
nunung wahyu
wahyu dwiningsih
dwiningsih menjelaskan
menjelaskan karnaval
karnaval digelar
veteran dan
dan jalan
pemuda rekayasa
arus sama
sama dengan
dengan saat
saat gelaran
gelaran klaten
klaten lurik
lurik karnival
karnival rekayasa
dengan klaten
karnival kemarin
kemarin jadi
jadi dari
dari solo
solo kita
kita arahkan
arahkan simpang
simpang tiga
tiga ngingas
ngingas kata
kata nunung
nunung kepada
kepada detik
jateng sabtu
siang dari
dari simpang
ngingas ucap
ucap nunung
nunung kendaraan
kendaraan kecil
kecil dari
solo bisa
bisa masuk
masuk kota
kota lewat
lewat jalan
jalan kopral
kopral sayom
sayom ke
ke selatan
selatan untuk
untuk kendaraan
kendaraan berat
berat dari
solo dialihkan
dialihkan mulai
mulai simpang
tiga masjid
masjid al
al aqsha
aqsha untuk
kendaraan besar
besar dari
solo ke
ke jogja
jogja langsung
langsung kita
arahkan dari
tiga alaqsha
alaqsha ke
ke kiri
kiri jalan
jalan lingkar
lingkar selatan
selatan dari
dari jogja
jogja seperti
seperti biasa
biasa ke
kiri dari
dari tugu
tugu adipura
adipura papar
papar nunung
nunung dijelaskan
dijelaskan nunung
jogja ke
ke solo
solo tetap
tetap lewat
kecil tugu
adipura ke
kiri lewat
jalan merapi
merapi merbabu
merbabu jalan
jalan mayor
mayor kusmanto
kusmanto dari
dari jalan
kusmanto lurus
lurus ke
ke jalan
mayor sunaryo
sunaryo tidak
tidak lewat
lewat sungkur
sungkur karena
karena sungkur
sungkur jalan
jalan dr
dr wahidin
wahidin ke
arah jalan
pemuda juga
juga ditutup
ditutup imbuh
imbuh nunung
nunung karnaval
karnaval kata
nunung dimulai
dimulai pukul
wib dan
dan berakhir
berakhir pukul
wib petugas
petugas akan
akan apel
apel di
di rspd
rspd dan
dan merapat
merapat ke
ke lokasi
lokasi masing
masing masing
masing setelah
setelah apel
apel kita
kita ke
masing penutupan
penutupan jalan
jalan dimulai
dimulai sekitar
sekitar jam
jam wib
wib mohon
mohon masyarakat
masyarakat memahaminya
memahaminya pungkas
pungkas nunung
nunung seperti
hut ke
ke ri
ri dan
kabupaten ke
ke klaten
klaten tetap
turut ada
jateng jumat
mulai mendaftar
mendaftar data
data terakhir
terakhir awal
awal pekan
pekan kemarin
kemarin untuk
untuk karnaval
budaya sudah
sudah peserta
peserta dan
dan pembangunan
pembangunan peserta
peserta diupayakan
diupayakan tidak
tidak sampai
sampai maghrib
maghrib selesai
selesai karena
karena peserta
peserta masih
masih mungkin
mungkin bertambah
bertambah ungkap
ungkap sri
sri nugroho
nugroho 3ribuan
3ribuan warga
warga cianjur
cianjur padati
padati jalan
jalan protokol
protokol menyaksikan
menyaksikan helaran
helaran budaya
budaya pada
pada sabtu
sabtu puluhan
puluhan kesenian
kesenian ditampilkan
ditampilkan dalam
dalam helaran
digelar menyambut
menyambut hut
hut kota
kota santri
santri dan
dan republik
republik indonesia
indonesia jalan
protokol yang
yang menjadi
menjadi lintasan
lintasan pawai
pawai pun
pun dipadati
dipadati warga
warga di
di kanan
kanan kirinya
kirinya sejak
sejak sabtu
sabtu subuh
subuh lautan
lautan manusia
manusia terjadi
terjadi lantaran
lantaran antusiasnya
antusiasnya masyarakat
masyarakat terhadap
terhadap event
event tahunan
tahunan tersebut
tersebut rangkaian
rangkaian helaran
budaya itu
itu dibuka
dibuka dengan
dengan ikon
ikon khas
khas cianjur
cianjur yakni
yakni kuda
kuda kosong
kosong kebudayaan
kebudayaan tersebut
tersebut merupakan
merupakan perwujudan
perwujudan dari
dari sejarah
sejarah masa
masa lalu
lalu cianjur
cianjur yang
yang dihadiahi
dihadiahi kuda
kuda oleh
oleh kerajaan
kerajaan mataram
mataram usai
usai dianggap
dianggap sebagai
sebagai saudara
saudara kuda
kosong pun
pun menjadi
menjadi rangkaian
rangkaian yang
yang paling
paling dinanti
dinanti terlebih
terlebih kuda
kuda tersebut
tersebut dipercaya
dipercaya masyarakat
masyarakat merupakan
merupakan tumpangan
tumpangan dari
dari eyang
eyang raden
raden suryakencana
suryakencana usai
usai kesenian
kesenian kuda
kosong helaran
helaran dilanjut
dilanjut dengan
dengan iringan
iringan kesenian
kesenian dari
dari setiap
setiap kecamatan
kecamatan di
di cianjur
cianjur mulai
dari pencak
pencak silat
silat tarian
tarian tradisional
tradisional sisingaan
sisingaan enggrang
enggrang hingga
hingga panggul
panggul beas
beas namun
namun tak
tak hanya
hanya budaya
budaya lokal
lokal kebudayaan
kebudayaan indonesia
indonesia juga
juga turut
turut ditampilkan
ditampilkan seperti
seperti tarian
tarian dari
dari sumatera
sumatera dan
dan barongsai
barongsai bupati
bupati cianjur
cianjur herman
herman suherman
suherman mengatakan
mengatakan helaran
budaya tersebut
tersebut memang
memang rutin
rutin digelar
digelar setiap
setiap tahunnya
tahunnya dengan
dengan menampilkan
menampilkan beragam
beragam seni
seni dan
dan kebudayaan
kebudayaan dari
dari kota
santri ini
ini merupakan
merupakan agenda
agenda setiap
setiap tahun
tahun menyambut
menyambut hari
jadi cianjur
yang diperingati
diperingati setiap
setiap tanggal
tanggal juli
juli dan
dan hut
ri pada
pada agustus
agustus perayaannya
perayaannya digabung
digabung dalam
dalam momen
momen helaran
budaya ini
ini selain
selain memeriahkan
memeriahkan dua
dua momen
momen besar
besar tersebut
tersebut juga
juga mengenalkan
mengenalkan kebudayaan
setiap wilayah
wilayah di
cianjur kata
kata dia
dia sabtu
sabtu menurutnya
menurutnya pengenalan
pengenalan budaya
tersebut tidak
tidak sebatas
sebatas ditujukan
ditujukan untuk
untuk warga
cianjur tetapi
tetapi wisatawan
wisatawan yang
yang datang
datang untuk
untuk menyaksikan
menyaksikan kegiatan
kegiatan tersebut
tersebut helaran
ini menarik
menarik juga
juga wisatawan
wisatawan untuk
untuk datang
datang makanya
makanya selain
selain mengenalkan
mengenalkan pada
pada warga
cianjur secara
secara khusus
khusus tetapi
tetapi juga
mengenalkan budaya
budaya kota
santri ke
ke wisatawan
wisatawan dari
dari luar
luar daerah
daerah dan
dan mancanegara
mancanegara tuturnya
tuturnya selain
selain itu
itu lanjut
lanjut dia
dia helaran
budaya juga
juga menjadi
menjadi hiburan
hiburan rakyat
rakyat di
di kota
santri warga
warga bisa
bisa membawa
membawa keluarganya
keluarganya untuk
menyaksikan keberagaman
keberagaman dan
dan keunikan
keunikan dari
dari peserta
peserta pawai
pawai ini
ini jadi
jadi wisata
wisata murah
murah meriah
meriah sekaligus
sekaligus edukasi
edukasi untuk
untuk anak
anak anak
anak kata
dia herman
herman menambahkan
menambahkan selain
selain helaran
budaya pemkab
pemkab juga
juga akan
akan menggelar
menggelar karnaval
karnaval lainnya
lainnya di
cianjur hal
hal itu
itu dilakukan
dilakukan untuk
untuk semakin
semakin menarik
menarik wisatawan
wisatawan datang
datang ke
ke kota
santri nanti
nanti akan
akan dibuat
dibuat agenda
agenda tahunan
tahunan berupa
berupa karnaval
karnaval tujuannya
tujuannya menarik
wisatawan supaya
supaya pariwisata
pariwisata cianjur
cianjur bisa
bisa terus
terus hidup
hidup pungkasnya
pungkasnya 4uji
4uji coba
coba sistem
sistem kerja
kerja dari
dari rumah
rumah atau
atau work
work from
from home
home wfh
wfh untuk
untuk aparatur
aparatur sipil
sipil negara
negara asn
asn pemerintah
pemerintah provinsi
provinsi pemprov
pemprov dki
